lat,long,proj,placedesc,centroid,desc,link,service
41.9828721,-71.3288956,"North Attleboro, MA Zoning Study","North Attleboro, MA","North Attleboro, MA","North Attleboro, MA Zoning Study: Created an extensive mixed-use overlay along Route 1 and in downtown, used impressive mapping tools and data, and crafted a bylaw with new lot dimensions and zoning rules for economic hubs and mixed-use style development.",https://communityscale.io/nattleboro-mxu/,Zoning
42.587915,-72.5994104,"North Attleboro, MA Downtown Plan","North Attleboro, MA","North Attleboro, MA",,,Housing
31.7618778,-106.4850217,Downtown + Uptown & Surrounding Neighborhoods Plan,"El Paso, TX","El Paso, TX","Downtown + Uptown & Surrounding Neighborhoods Plan, El Paso, TX: Developed a 2023 master plan for Downtown, Uptown, and adjacent neighborhoods focusing on new housing, livability, and equity, which spurred zoning reform and secured $17 million in grant funding.",https://communityscale.io/downtown-uptown-surrounding-neighborhoods-plan/,Digital products
42.2389857,-71.3697813,"Sherborn, MA MBTA Communities Zoning","Sherborn, MA","Sherborn, MA","MBTA Communities Zoning, Sherborn, MA: Led 2024 technical assistance for Sherborn's MBTA Communities (Section 3A) compliance, developed zoning overlay options for by-right multifamily housing, and prepared the EOHLC compliance submission.",https://communityscale.io/sherborn-mbta/,Zoning
42.4582875,-71.0238623,Saugus 3A,"Saugus, MA","Saugus, MA",Not_applicable,Not_applicable,Zoning
42.4547874,-71.06547,"Melrose, MA Rezoning","Melrose, MA","Melrose, MA","Melrose, MA Rezoning: Rewrote Melrose’s zoning in close collaboration with City staff and the Planning Board, focusing on the zoning’s organization and compliance aspects, which was completed over four months.",https://communityscale.io/melrose-zoning-recodification/,Zoning
42.40843,-71.0536625,Everett Rezoning,"Everett, MA","Everett, MA","Everett Rezoning, Everett, MA: Led Everett’s zoning and created a new zoning map, the recodification includes a new master plan special permit process for large-scale redevelopment.",https://communityscale.io/everett-recodification/,Zoning
42.40843,-71.0536625,Everett 40B Safe Harbor,"Everett, MA","Everett, MA",Not_applicable,Not_applicable,Housing
41.5218243,-71.2834538,"Middletown, RI Housing Needs Assessment","Middletown, RI","Middletown, RI",,,Housing
41.5218243,-71.2834538,"Barrington, RI Housing Needs Assessment","Barrington, RI","Barrington, RI","Housing Needs Assessment, Barrington, RI: Conducted a 2024 analysis of local demographics and housing stock, projecting future demand and developing a 10-year housing production target to meet local needs and state goals.",,Housing
42.5018307,-71.0750488,Wakefield 3A Comms,"Wakefield, MA","Wakefield, MA",,,Zoning
41.70139,-71.155229,"Fall River, MA Housing Plan","Fall River, MA","Fall River, MA","Housing Market Analysis, Fall River, MA: A market study to inform the housing development program for the Davol Street Master Plan which aims to transform Fall River’s waterfront into a dense, walkable neighborhood.",,Housing
42.530599,-72.6151169,"Apex, NC Housing Plan Update","Apex, NC","Apex, NC","Housing Plan Update, Apex, NC: A detailed study to understand housing needs and opportunities, engage stakeholders and residents, and set policy priorities in this rapidly growing Research Triangle community.",,Housing
41.7406798,-71.308609,"Greenfield, MA ADU Study","Greenfield, MA","Greenfield, MA",,Not_applicable,Housing
40.0252111,-83.0574468,"Upper Arlington, OH Housing Market Study","Upper Arlington, OH","Upper Arlington, OH","Housing Market Analysis, Upper Arlington, OH: Authored a May 2025 detailed housing market study for the City, analyzed housing supply, affordability, and development economics, projecting demand through 2050.",https://communityscale.io/city-of-upper-arlington-housing-market-detailed-analysis/,Housing
42.4582875,-71.0238623,Saugus GLAM,"Saugus, MA","Saugus, MA",Not_applicable,Not_applicable,Consulting
42.4582875,-71.0238623,Saugus 40B,"Saugus, MA","Saugus, MA",Not_applicable,Not_applicable,Housing
42.4582875,-71.0238623,"Saugus, MA MBTA Phase 2","Saugus, MA","Saugus, MA",Not_applicable,Not_applicable,Zoning
42.0393842,-70.6717028,Duxbury Multifamily Zoning 3A,"Duxbury, MA","Duxbury, MA",,Not_applicable,Zoning
42.587915,-72.5994104,"Greenfield, MA Housing Plan","Greenfield, MA","Greenfield, MA","Housing Plan, Greenfield, MA: A plan to measure attainability gaps across the full spectrum of price points and housing typologies to inform the City’s plans for increased equity and new growth.",,"Housing, Digital products"
42.40843,-71.0536625,Everett task 300 legacy STN,"Everett, MA","Everett, MA",Not_applicable,Not_applicable,Zoning
43.0494832,-76.1473977,"Downtown Syracuse, NY Housing Study","Syracuse, NY","Syracuse, NY","Downtown Housing Market Study, Syracuse, NY: Authored a 2025 housing needs assessment and market study for the Downtown Committee. Analyzed market potential (identifying capacity for 176 new units/year), the impacts of Micron and I-81 redevelopment, and local zoning (ReZone). This work informed a 5-10 year strategy to enhance Downtown residential vitality and guide future development.",https://communityscale.io/downtown-syracuse-housing-needs-assessment-and-market-study/,Housing
39.0836712,-84.5085536,Northern Kentucky Regional Housing Data Analysis,"Northern Kentucky, KY","Covington, KY",Not_applicable,Not_applicable,Housing
38.804693,-77.0435257,"Alexandria, VA Housing Needs Assessment","Alexandria, VA","Alexandria, VA","Housing Needs Assessment, Alexandria, VA: An extensive housing analysis and needs assessment that will provide the analytical foundation for the City’s next Housing Master Plan.",,Housing
41.8245558,-71.414199,"Downtown Providence, RI Housing Market Study","Providence, RI","Providence, RI","Downtown market study, Providence, RI: A study to inform the housing program for the adaptive reuse of two historic office buildings downtown, including consideration of both conventional and graduate student housing.",Not_applicable,Housing
42.4250964,-71.066163,Malden MBTA Communities Zoning,"Malden, MA","Malden, MA","Malden MBTA Communities Zoning, Malden, MA: Led the zoning overlay effort by working with city staff and council, including community surveys and public meetings, and demonstrated zoning compliance with the MBTA Communities requirements.",https://communityscale.io/malden-3a/,Zoning
39.0836712,-84.5085536,Northern Kentucky Housing Strategies,"Northern Kentucky, KY","Covington, KY","Regional Housing Strategies, Northern Kentucky: Co-developed the ""Home for All"" initiative delivering a menu of 50 strategies for an eight-county region. This plan addresses a 6,650-unit housing gap with actionable solutions to improve housing availability and affordability, informed by extensive stakeholder engagement.",https://communityscale.io/home-for-all-northern-kentucky-housing-strategies/,Housing
41.9828721,-71.3288956,Regional Housing Study Dashboard,"Franklin County, MA","Franklin County, MA","County Housing Plan Support, Franklin County, MA: For the Franklin Regional Council of Governments' (FRCOG) county-wide housing plan, conducted the foundational housing needs assessment. Analyzed current and projected housing supply, demand, affordability gaps, and demographic trends to inform strategies for increasing housing diversity and addressing shortages.",,"Housing, Digital products"
42.4250964,-71.066163,Malden legacy STN,"Malden, MA","Malden, MA",Not_applicable,Not_applicable,Zoning
,, , , , , , 
,, , , , , , 
,, , , , , , 
,, , , , , , 
,, , , , , , 
